week,Influenza,Influenza_di_Hong_Kong,Vaccino_anti_febbre_gialla,Influenza_asiatica,Apoi_virus,Enzimuria,Influenzavirus_A_sottotipo_H1N1,Polyomavirus,Febbre,Anemia_infettiva_equina
2019-01,-0.16454392601933585,-0.1359265734265734,-0.202114237651017,-0.19547199085415642,-0.25961538461538464,0.05144230769230771,-0.06917473074189491,-0.45360998650472334,-0.23814299197734778,-0.2826417004048583
2019-02,-0.16454392601933585,-0.1565877304513668,-0.2080784523627466,-0.1848562796015025,-0.25961538461538464,-0.14855769230769228,-0.053965064785960304,-0.05010121457489879,-0.2400601698914582,-0.32211538461538464
2019-03,-0.16454392601933585,-0.1400588048315321,-0.1921738797981343,-0.14876286134247915,-0.25961538461538464,-0.14855769230769228,-0.06007736045049477,-0.07934098065677014,-0.24785669340884062,-0.2760627530364373
2019-04,-0.16454392601933585,-0.13179434202161475,-0.20410230922159353,-0.20821084435734113,-0.25961538461538464,-0.09855769230769229,-0.04117188781367885,-0.044253261358524525,-0.22306119238634572,-0.30895748987854255
2019-05,-0.16454392601933585,-0.11113318499682134,-0.18223352194525158,-0.18060999510044093,-0.25961538461538464,-0.1985576923076923,-0.04586271937018205,-0.07934098065677014,-0.19225853389963818,-0.2036943319838057
2019-06,-0.16454392601933585,-0.10286872218690399,-0.2080784523627466,-0.19334884860362564,0.6292735042735043,-0.14855769230769228,-0.04756847629981958,-0.10273279352226722,-0.210791253736039,-0.2629048582995952
2019-07,-0.16454392601933585,-0.1400588048315321,-0.2219949533567824,-0.17848685284991014,0.1848290598290598,0.0014423076923077093,-0.050695697337488375,0.1019455690508322,-0.2026112946358345,-0.25632591093117413
2019-08,-0.16454392601933585,-0.1400588048315321,-0.2219949533567824,-0.1721174260983178,0.0737179487179487,-0.24855769230769229,-0.053965064785960304,-0.06179712100764733,-0.20158879974830893,-0.0655364372469636
2019-09,-0.16454392601933585,-0.09873649078194531,-0.22597109649793548,-0.13390086558876366,0.0737179487179487,0.05144230769230771,-0.050695697337488375,-0.20214799820062979,-0.22280556866446435,0.2963056680161943
2019-10,-0.16454392601933585,-0.16071996185632548,-0.23789952592139474,-0.14663971909194837,-0.037393162393162406,-0.24855769230769229,-0.05680799300202285,-0.19630004498425552,-0.21794871794871792,0.10551619433198377
2019-11,-0.16454392601933585,-0.11113318499682134,-0.22597109649793548,-0.18060999510044093,0.7403846153846154,0.05144230769230771,-0.05026925810507899,-0.20799595141700405,-0.2237002516910492,0.11867408906882587
2019-12,-0.16454392601933585,-0.15245549904640812,-0.22994723963908856,-0.22307284011105663,0.29594017094017094,-0.04855769230769229,-0.057234432234432225,-0.2196918578497526,-0.2487513764354255,-0.23001012145748992
2019-13,-0.16454392601933585,-0.14419103623649077,-0.21801881021562933,-0.229442266862649,0.29594017094017094,-0.14855769230769228,-0.061498824558526045,-0.10273279352226722,-0.252713544124587,-0.3352732793522268
2019-14,-0.16454392601933585,-0.16071996185632548,-0.19615002293928738,-0.1848562796015025,0.6292735042735043,-0.09855769230769229,-0.054817943250779065,-0.19630004498425552,-0.2639609878873682,-0.2629048582995952
2019-15,-0.05131988230348886,-0.1193976478067387,-0.21205459550389968,-0.22094969786052585,0.29594017094017094,-0.14855769230769228,-0.05936662839647913,-0.24308367071524967,-0.2611491269466729,-0.22343117408906887
