week,Neoplasia,Tosse_post-virale,Virus_respiratorio_sinciziale_umano,Bronchite_acuta,Virus_a_RNA,Subsalicilato_di_bismuto,Epatite_A,Febbre,Pandemia_influenzale,Influenzavirus_A_sottotipo_H1N1
2019-01,-0.2632075471698113,-0.20473372781065088,-0.1458440887971089,-0.11387059073523163,-0.36952782989368355,-0.3569947209653092,-0.23132876893345006,-0.23814299197734778,-0.18870463622156622,-0.06917473074189491
2019-02,-0.10206983948183611,-0.1944773175542406,-0.24204095680605744,-0.11202897010908061,-0.16898582447362934,-0.3766025641025641,-0.2016959581110322,-0.2400601698914582,-0.18870463622156622,-0.053965064785960304
2019-03,-0.12561250352013517,-0.18422090729783036,-0.21072104629151606,-0.10466248760447656,-0.26112674588284346,-0.32758295625942685,-0.19954865297897292,-0.24785669340884062,-0.2135353359958326,-0.06007736045049477
2019-04,-0.1301182765418192,-0.16370808678500984,-0.16821545345035274,-0.09913762572602353,-0.15272566187200332,-0.14130844645550528,-0.19868973092614922,-0.22306119238634572,-0.1774179545059906,-0.04117188781367885
2019-05,-0.1229653618698958,-0.21499013806706113,-0.19282395456892099,-0.0678300750814563,0.14808734625807798,-0.2916352438411262,-0.20148122759782627,-0.19225853389963818,-0.17516061816287548,-0.04586271937018205
2019-06,-0.0936778372289496,-0.1739644970414201,-0.1615040440543796,-0.08716709165604195,0.2700385657702731,-0.2981711915535445,-0.22445739251086042,-0.210791253736039,-0.148072582045494,-0.04756847629981958
2019-07,-0.10792734441002534,-0.18422090729783036,0.2478919290999828,-0.07519655758606035,-0.09039503856577026,-0.32758295625942685,-0.18924158834508845,-0.2026112946358345,-0.2135353359958326,-0.050695697337488375
2019-08,-0.12758377921712194,-0.15857988165680473,-0.09886422302529682,-0.07980060915143788,-0.11749530956848028,-0.2524195575666164,-0.20491691580912108,-0.20158879974830893,-0.14355790935926374,-0.053965064785960304
2019-09,-0.1327654181920586,-0.1175542406311637,-0.12347272414386505,-0.08440466071681542,-0.2340264748801334,-0.33738687782805427,-0.23841487586924562,-0.22280556866446435,-0.08938183712450076,-0.050695697337488375
2019-10,-0.12003660940580119,-0.08678500986193292,-0.2487523662020306,-0.14241571044057233,-0.2719668542839274,-0.26875942684766213,-0.19095943245073585,-0.21794871794871792,-0.23610869942698384,-0.05680799300202285
2019-11,-0.12904815544916926,-0.1175542406311637,-0.19729822749956974,-0.11847464230060915,-0.32345736918907647,-0.2981711915535445,-0.20534637683553295,-0.2237002516910492,-0.23836603577009896,-0.05026925810507899
2019-12,-0.15185863137144467,-0.1739644970414201,-0.2487523662020306,-0.12768274543136424,-0.3342974775901605,-0.3635306686777275,-0.2463599048578649,-0.2487513764354255,-0.2609393992012502,-0.057234432234432225
2019-13,-0.14538158265277387,-0.10729783037475343,-0.27112373085527447,-0.14886138263210089,-0.25028663748175944,-0.4027463549522373,-0.22875200277497892,-0.252713544124587,-0.2722260809168258,-0.061498824558526045
2019-14,-0.11586876936074346,-0.16883629191321498,-0.25546377559800376,-0.18385217452897012,-0.28009693558474047,-0.330850930115636,-0.20556110734873886,-0.2639609878873682,-0.2519100538287897,-0.054817943250779065
2019-15,-0.137721768515911,-0.12781065088757396,-0.3315264154190328,-0.19766432922510271,-0.2448665832812174,-0.4321581196581197,-0.22660469764291968,-0.2611491269466729,-0.2812554262892863,-0.05936662839647913
